date	close
24-Aug-15	5
25-Aug-15	6
26-Aug-15	3
27-Aug-15	6
28-Aug-15	5
29-Aug-15	4
30-Aug-15	4
31-Aug-15	4
01-Sep-15	4
02-Sep-15	4
03-Sep-15	7
04-Sep-15	5
05-Sep-15	4
06-Sep-15	6
07-Sep-15	7
08-Sep-15	8
09-Sep-15	3
10-Sep-15	4
11-Sep-15	3
12-Sep-15	3
13-Sep-15	1
14-Sep-15	2
15-Sep-15	4
16-Sep-15	4
17-Sep-15	3
18-Sep-15	1
19-Sep-15	6
20-Sep-15	2
21-Sep-15	7
22-Sep-15	4
23-Sep-15	5
24-Sep-15	1
25-Sep-15	2
26-Sep-15	4
27-Sep-15	6
28-Sep-15	5
29-Sep-15	1
30-Sep-15	2
01-Oct-15	3
02-Oct-15	3
03-Oct-15	4
04-Oct-15	2
05-Oct-15	2
06-Oct-15	2
07-Oct-15	5
08-Oct-15	4
09-Oct-15	3
10-Oct-15	4
11-Oct-15	6
12-Oct-15	3
13-Oct-15	6
14-Oct-15	3
15-Oct-15	3
16-Oct-15	3
17-Oct-15	5
19-Oct-15	3
20-Oct-15	4
21-Oct-15	1
23-Oct-15	3
24-Oct-15	4
25-Oct-15	6
26-Oct-15	4
27-Oct-15	5
28-Oct-15	1
29-Oct-15	6
30-Oct-15	3
31-Oct-15	4
01-Nov-15	2
02-Nov-15	3
03-Nov-15	2
04-Nov-15	6
05-Nov-15	1
06-Nov-15	2
07-Nov-15	6
08-Nov-15	3
09-Nov-15	4
10-Nov-15	4
11-Nov-15	3
12-Nov-15	4
13-Nov-15	2
14-Nov-15	2
15-Nov-15	4
16-Nov-15	5
17-Nov-15	3
18-Nov-15	4
19-Nov-15	1
20-Nov-15	2
21-Nov-15	3
22-Nov-15	5
23-Nov-15	4
24-Nov-15	3
25-Nov-15	8
26-Nov-15	3
27-Nov-15	3
28-Nov-15	4
29-Nov-15	2
30-Nov-15	2
01-Dec-15	7
02-Dec-15	3
03-Dec-15	6
04-Dec-15	7
05-Dec-15	1
06-Dec-15	2
07-Dec-15	2
08-Dec-15	3
09-Dec-15	7
10-Dec-15	1
11-Dec-15	3
12-Dec-15	1
13-Dec-15	7
14-Dec-15	3
15-Dec-15	4
16-Dec-15	3
17-Dec-15	1
18-Dec-15	4
19-Dec-15	1
20-Dec-15	4
21-Dec-15	5
22-Dec-15	4
23-Dec-15	6
24-Dec-15	3
25-Dec-15	4
26-Dec-15	13
27-Dec-15	1
28-Dec-15	11
29-Dec-15	8
30-Dec-15	9
31-Dec-15	6
01-Jan-16	7
02-Jan-16	7
03-Jan-16	5
04-Jan-16	6
05-Jan-16	7
06-Jan-16	2
07-Jan-16	3
08-Jan-16	4
09-Jan-16	7
10-Jan-16	5
11-Jan-16	4
12-Jan-16	1
13-Jan-16	3
14-Jan-16	2
15-Jan-16	5
16-Jan-16	6
17-Jan-16	8
18-Jan-16	5
19-Jan-16	6
20-Jan-16	5
21-Jan-16	6
22-Jan-16	4
23-Jan-16	4
24-Jan-16	6
25-Jan-16	3
26-Jan-16	3
27-Jan-16	7
28-Jan-16	1
29-Jan-16	5
30-Jan-16	5
31-Jan-16	4
01-Feb-16	8
03-Feb-16	3
04-Feb-16	2
05-Feb-16	7
06-Feb-16	2
07-Feb-16	3
08-Feb-16	5
09-Feb-16	3
10-Feb-16	2
11-Feb-16	1
12-Feb-16	5
13-Feb-16	4
14-Feb-16	4
15-Feb-16	5
16-Feb-16	6
17-Feb-16	2
18-Feb-16	5
19-Feb-16	1
20-Feb-16	2
21-Feb-16	3
22-Feb-16	3
23-Feb-16	3
24-Feb-16	2
25-Feb-16	4
26-Feb-16	7
27-Feb-16	5
28-Feb-16	5
29-Feb-16	2
01-Mar-16	4
02-Mar-16	5
03-Mar-16	2
04-Mar-16	2
05-Mar-16	5
06-Mar-16	2
07-Mar-16	5
08-Mar-16	3
09-Mar-16	2
10-Mar-16	4
11-Mar-16	5
12-Mar-16	3
13-Mar-16	9
14-Mar-16	10
15-Mar-16	2
16-Mar-16	3
17-Mar-16	3
18-Mar-16	4
19-Mar-16	2
20-Mar-16	3
21-Mar-16	2
22-Mar-16	4
23-Mar-16	8
24-Mar-16	5
25-Mar-16	2
26-Mar-16	2
27-Mar-16	3
28-Mar-16	6
29-Mar-16	3
30-Mar-16	4
31-Mar-16	9
01-Apr-16	3
02-Apr-16	4
03-Apr-16	6
04-Apr-16	6
05-Apr-16	7
06-Apr-16	6
07-Apr-16	4
08-Apr-16	5
09-Apr-16	7
10-Apr-16	4
11-Apr-16	8
12-Apr-16	4
13-Apr-16	5
14-Apr-16	2
15-Apr-16	1
16-Apr-16	4
17-Apr-16	3
18-Apr-16	4
19-Apr-16	5
20-Apr-16	3
21-Apr-16	5
22-Apr-16	2
23-Apr-16	2
25-Apr-16	3
26-Apr-16	3
27-Apr-16	6
28-Apr-16	2
29-Apr-16	3
30-Apr-16	3
01-May-16	4
02-May-16	9
03-May-16	3
04-May-16	7
05-May-16	2
06-May-16	3
07-May-16	1
08-May-16	4
09-May-16	4
11-May-16	3
12-May-16	4
13-May-16	2
15-May-16	3
16-May-16	2
17-May-16	2
19-May-16	3
21-May-16	6
22-May-16	3
23-May-16	4
24-May-16	4
25-May-16	1
26-May-16	5
27-May-16	4
29-May-16	6
30-May-16	5
31-May-16	3
01-Jun-16	5
02-Jun-16	4
03-Jun-16	7
04-Jun-16	3
05-Jun-16	2
06-Jun-16	5
07-Jun-16	7
08-Jun-16	3
09-Jun-16	7
10-Jun-16	3
11-Jun-16	4
12-Jun-16	2
13-Jun-16	2
14-Jun-16	5
15-Jun-16	1
17-Jun-16	6
18-Jun-16	2
19-Jun-16	4
20-Jun-16	6
21-Jun-16	5
22-Jun-16	11
23-Jun-16	6
24-Jun-16	2
25-Jun-16	4
26-Jun-16	4
27-Jun-16	2
28-Jun-16	8
29-Jun-16	5
30-Jun-16	2
01-Jul-16	8
02-Jul-16	4
03-Jul-16	6
04-Jul-16	5
05-Jul-16	10
06-Jul-16	4
07-Jul-16	2
08-Jul-16	4
09-Jul-16	9
10-Jul-16	3
11-Jul-16	2
13-Jul-16	4
14-Jul-16	4
15-Jul-16	1
16-Jul-16	7
17-Jul-16	4
18-Jul-16	3
19-Jul-16	5
20-Jul-16	6
21-Jul-16	4
22-Jul-16	4
23-Jul-16	6
24-Jul-16	3
25-Jul-16	3
26-Jul-16	3
27-Jul-16	3
28-Jul-16	2
29-Jul-16	4
30-Jul-16	2
31-Jul-16	6
01-Aug-16	2
02-Aug-16	3
03-Aug-16	5
04-Aug-16	2
05-Aug-16	5
06-Aug-16	4
07-Aug-16	3
08-Aug-16	5
09-Aug-16	4
10-Aug-16	9
11-Aug-16	8
12-Aug-16	3
13-Aug-16	5
14-Aug-16	5
15-Aug-16	1
16-Aug-16	6
17-Aug-16	5
18-Aug-16	3
19-Aug-16	4
20-Aug-16	4
21-Aug-16	4
22-Aug-16	3
23-Aug-16	4
24-Aug-16	1
25-Aug-16	1
26-Aug-16	3
27-Aug-16	3
28-Aug-16	4
29-Aug-16	5
30-Aug-16	6
31-Aug-16	1
01-Sep-16	3
02-Sep-16	2
03-Sep-16	2
04-Sep-16	10
05-Sep-16	4
06-Sep-16	4
07-Sep-16	4
08-Sep-16	4
10-Sep-16	3
11-Sep-16	1
12-Sep-16	4
13-Sep-16	3
14-Sep-16	2
15-Sep-16	4
16-Sep-16	4
17-Sep-16	2
18-Sep-16	2
